review_token,aspects
"[7, 36, 62, 27, 269, 26, 6, 97, 334, 7, 288, 214, 121, 4, 70, 86, 131, 131, 257, 30, 99, 191, 963, 14, 86, 142, 101, 224, 25, 1, 356, 152, 263, 334, 9, 152, 89, 149, 19, 323, 5, 212, 796, 186, 15]","[1, 0, 1, 1]"
"[293, 74, 1, 913, 107, 80, 4, 19, 186, 15, 198, 502, 1, 3, 289, 35, 8, 26, 212, 37, 166, 15, 21, 2, 233, 6, 22, 566, 252, 22, 15, 9, 2, 1, 913, 56, 86]","[1, 0, 1, 1]"
"[2, 87, 17, 107, 137, 213, 89, 2, 82, 6, 53, 35, 55, 4, 79, 82, 23, 90, 21, 1, 3, 56, 86, 2, 285, 1, 23, 289, 445, 1, 23, 186, 39, 5, 1758, 149, 2, 69, 3, 5, 90, 21, 116, 5, 44, 2]","[1, 0, 0, 1]"
"[328, 32, 186, 329, 820, 1178, 2402, 326, 2403, 7, 291, 4, 113, 1297, 797, 1, 914, 117, 193, 326, 234, 35, 289, 28, 113, 65, 35, 263, 91, 482, 189, 12, 722, 12, 566, 117, 7, 32, 556, 21, 27, 132, 347, 38, 71, 44, 150, 168, 482, 189, 6, 38, 1179, 7, 89, 62, 116, 41, 44]","[1, 0, 0, 0]"
"[2, 14, 12, 33, 519, 41, 4, 50, 25, 19, 68, 68, 73, 294, 26, 3, 10, 204, 482, 92, 2404, 1759, 313, 288, 107, 80, 4, 41, 798, 117, 252, 295, 2405, 6, 723, 81, 36]","[1, 0, 0, 1]"
"[74, 6, 53, 25, 61, 144, 4, 28, 797, 65, 218, 13, 285, 157, 55, 145, 218, 169, 30, 61, 239, 1760, 69, 47, 128, 30, 61, 1, 10, 168, 177, 13, 121, 53, 25, 25, 95, 53, 1, 10, 168, 9, 12, 65, 69, 186, 168, 26, 492, 460, 168, 57, 95, 6, 90, 57]","[1, 0, 0, 1]"
"[22, 17, 15, 67, 17, 330, 6, 148, 186, 28, 107, 23, 212, 110, 23, 197, 159, 2, 225, 17, 6, 207, 207, 15, 113, 144, 82, 6, 144, 37, 862, 285, 105, 242, 149, 21, 135, 618, 2, 82, 101, 64, 35, 149, 21, 15, 148, 20, 28]","[1, 0, 1, 1]"
"[7, 6, 2406, 19, 31, 34, 2407, 633, 5, 2, 361, 1298, 5, 1095, 3, 4, 75, 203, 9, 214, 121, 90, 2, 24, 1, 3, 152, 49, 39, 31, 18, 21, 416, 540, 19, 372]","[0, 1, 0, 0]"
"[122, 44, 1096, 21, 152, 35, 27, 167, 121, 109, 311, 178, 45, 235, 152, 30, 5, 2, 68, 3, 177, 863, 19, 541, 41, 482, 5, 567, 42, 347, 44, 178, 25, 687, 87, 30, 6, 5, 1097, 294, 68, 44, 27, 107, 35, 240, 1095, 223, 1299, 347, 71, 83, 41, 520, 19, 964, 253, 50, 461, 27]","[1, 0, 1, 1]"
"[33, 225, 121, 90, 204, 120, 157, 604, 120, 5, 451, 41, 4, 15, 67, 182, 313, 3, 5, 270, 39, 8, 323, 195, 2408, 10, 15, 134, 315, 19, 3, 5, 270]","[0, 0, 1, 1]"
"[7, 6, 70, 16, 73, 80, 13, 74, 6, 11, 88, 9, 1, 3, 4, 264, 138, 335, 321, 102, 19, 351, 5, 24, 49, 207, 462, 6, 373, 503, 8, 188, 1, 10, 504, 157, 864, 12, 212, 23, 31, 21, 188, 92, 1, 3]","[0, 1, 0, 1]"
"[2, 1, 83, 6, 799, 18, 16, 9, 1, 3, 34, 5, 341, 336, 1180, 6, 59, 82, 605, 5, 2, 18, 1, 59, 6, 373, 393, 80, 374, 767, 296, 1, 10, 331, 530]","[0, 1, 0, 1]"
"[1461, 688, 91, 821, 865, 68, 33, 74, 113, 315, 13, 1, 5, 215, 91, 212, 7, 23, 4, 54, 247, 1098, 332, 493, 38, 1, 866, 21, 60, 6, 11, 227, 5, 138, 7, 6, 78, 9, 297, 2409, 1, 3, 800, 297, 91, 7, 15, 47, 22, 178, 257, 169, 224, 431, 262]","[0, 1, 0, 1]"
"[2, 22, 45, 8, 30, 99, 191, 1028, 722, 131, 131, 45, 146, 161, 21, 6, 5, 161, 92, 651, 5, 745, 745, 20, 30, 6, 16, 57, 5, 44, 212, 285, 19, 45, 12, 10, 84, 325, 634, 44, 568, 16, 214, 604]","[1, 0, 0, 0]"
"[125, 70, 45, 30, 99, 109, 14, 117, 47, 22, 9, 92, 20, 45, 28, 71, 44, 26, 23, 2, 71, 14, 89, 12, 68, 1300, 62, 76, 703, 74, 38]","[1, 0, 0, 1]"
"[36, 58, 62, 432, 29, 965, 8, 5, 1462, 30, 94, 33, 14, 26, 1, 619, 54, 3, 4, 1181, 162, 86, 32, 41, 965, 8, 59, 224]","[1, 0, 0, 0]"
"[250, 86, 186, 272, 10, 168, 214, 99, 30, 35, 163, 28, 38, 1, 64, 325, 618, 410, 28, 146, 4, 55, 137, 13, 11, 290, 1, 100, 109, 47, 97]","[1, 0, 0, 0]"
"[49, 46, 45, 41, 31, 18, 268, 37, 113, 65, 31, 80, 38, 180, 60, 6, 31, 1, 119, 3, 5, 34, 74, 48, 579, 24, 6, 446, 168, 177, 13, 234, 61, 170, 65, 348, 3, 71, 44, 31, 18, 268, 19, 68, 68, 119, 59, 1, 822, 822, 81, 36]","[1, 1, 0, 1]"
"[225, 17, 4, 69, 279, 182, 20, 6, 167, 28, 107, 279, 315, 86, 19, 1463, 966, 966, 225, 17, 7, 382, 26, 103, 196, 28, 134, 86, 76, 1, 23, 16, 21, 667, 17, 190, 225, 635]","[1, 0, 1, 1]"
"[132, 362, 7, 31, 18, 16, 223, 205, 181, 10, 102, 21, 5, 335, 388, 205, 41, 16, 140, 103, 356, 28, 7, 605, 5, 16, 7, 12, 16, 223, 218, 636, 12, 140, 52, 7, 102, 80, 205, 19, 205, 85, 13, 132, 3, 129, 746, 7, 1761, 58, 26, 227, 16, 7, 44, 26, 1, 801, 334, 197, 2, 13, 81, 36]","[0, 1, 0, 1]"
"[6, 16, 9, 49, 22, 15, 43, 55, 16, 26, 49, 10, 15, 28, 4, 25, 73, 1464, 20, 1, 254, 399, 183, 65, 394, 1465, 15]","[0, 0, 1, 1]"
"[156, 689, 56, 24, 13, 142, 5, 115, 228, 37, 1466, 13, 37, 569, 61, 5, 115, 164, 147, 1467, 89, 2410, 113, 142, 5, 115, 37, 483, 483, 37, 12, 228, 89, 206, 164, 47, 34, 1762, 21, 352, 580, 95, 171, 115, 13, 2]","[1, 0, 1, 1]"
"[22, 108, 57, 12, 1, 108, 7, 31, 57, 473, 19, 108, 1, 10, 37, 316, 531, 148, 4, 1182, 6, 182, 1099, 1178, 69, 186, 108, 352]","[0, 0, 1, 1]"
"[84, 43, 7, 122, 74, 7, 6, 140, 1763, 28, 75, 203, 9, 1, 3, 5, 34, 56, 86, 19, 71, 174, 11, 140, 65, 393, 5, 335, 1, 10, 410, 747, 61, 8, 138, 131, 78, 41, 1763, 2, 233, 13, 32, 84, 43, 7, 122, 74, 21]","[0, 1, 0, 1]"
"[400, 277, 7, 7, 6, 199, 11, 41, 16, 18, 57, 12, 96, 473, 11, 219, 10, 503, 2411, 89, 1183, 2, 241, 19, 296, 11, 219, 89, 341, 40, 7, 1, 3, 337, 652, 57, 557, 37, 5, 2, 7, 61, 16, 55, 188, 7, 161, 440, 16, 21, 9, 375, 7, 6, 16, 13, 6, 80, 492, 196, 85, 159, 24]","[0, 1, 0, 1]"
"[1468, 23, 16, 43, 4, 127, 11, 6, 219, 6, 166, 462, 11, 6, 219, 89, 296, 724, 704, 5, 605, 5, 341, 336, 6, 59, 9, 276, 90, 2, 1, 59, 18]","[0, 1, 0, 0]"
"[26, 82, 43, 79, 253, 50, 357, 511, 28, 6, 43, 357, 254, 511, 21, 511, 21, 19, 28, 28, 148, 19, 33, 111]","[1, 0, 0, 0]"
"[802, 7, 23, 36, 294, 20, 27, 2, 35, 13, 33, 98, 14, 9, 10, 326, 20, 168, 121, 152, 35, 8, 29, 131, 131, 20, 1, 3, 5, 2412, 224, 19, 257, 121, 4, 25, 27, 94, 2413, 19, 32, 5, 44, 21, 27]","[1, 0, 0, 1]"
"[126, 66, 119, 8, 49, 78, 376, 75, 203, 60, 5, 867, 298, 223, 265, 189, 71, 14, 19, 10, 204, 154, 28, 39, 240, 2414, 1029, 1, 255, 5, 620, 21, 592, 16, 12, 6, 16, 268, 200, 223, 60, 33, 111, 2415, 8, 134, 70]","[1, 0, 1, 0]"
"[768, 441, 31, 18, 606, 138, 6, 102, 9, 18, 1, 101, 142, 5, 542, 69, 3, 9, 1764, 128, 18, 7, 175, 21, 19, 1, 3, 77, 1301, 18, 140, 7, 9, 331, 121, 542, 212, 540, 305, 2416, 2417, 27, 73, 113, 121, 7, 272, 13, 18, 7, 61, 224, 177, 1100]","[0, 1, 0, 0]"
"[1030, 14, 9, 66, 49, 78, 123, 19, 47, 125, 1765, 57, 30, 47, 6, 10, 15, 55, 227, 15, 1, 134, 4, 253, 50, 314, 494, 20, 146, 11, 26, 194, 103, 1, 1184, 967, 22, 262, 9, 26, 194, 12, 1, 278, 262, 4, 42, 73, 5, 185, 23, 4, 253, 50, 9, 37, 146, 11, 521]","[0, 1, 1, 1]"
"[6, 16, 89, 96, 268, 49, 20, 5, 868, 4, 54, 1101, 37, 12, 16, 495, 1099, 74, 6, 5, 123, 93, 252, 12, 5, 543, 2, 1, 14]","[1, 1, 0, 1]"
"[343, 5, 260, 21, 99, 53, 8, 105, 67, 4, 47, 105, 67, 30, 6, 16, 49, 183, 541, 109, 311, 4, 92, 1, 3]","[1, 0, 0, 0]"
"[6, 16, 18, 96, 9, 82, 23, 4, 267, 39, 532, 65, 18, 268, 27, 1102, 98, 9, 82, 140, 65, 393, 37, 393, 8, 495, 102, 16, 12, 96, 11, 12, 268, 11, 30, 18, 268, 6, 2418, 93, 120, 12, 10, 5, 18, 96, 94, 188, 637, 532, 239, 65, 18, 268, 13, 37, 393, 8, 495, 11, 124]","[0, 1, 0, 1]"
"[6, 134, 14, 32, 104, 21, 25, 69, 153, 122, 133, 25, 89, 463, 300, 333, 89, 463, 300, 12, 133, 153, 122, 423, 19, 22, 204, 41, 4]","[0, 0, 1, 1]"
"[101, 41, 24, 276, 4, 25, 5, 240, 1469, 212, 152, 201, 7, 293, 326, 244, 4, 25, 330, 12, 67, 1, 10, 1470, 327, 8]","[1, 0, 0, 0]"
"[107, 4, 213, 169, 6, 148, 23, 101, 21, 1, 3, 823, 705, 823, 705, 28, 272, 11, 55, 607, 56, 20, 180, 72, 280, 11, 9, 1, 913, 17, 26, 21, 4, 54, 188, 363, 45, 28, 368, 1, 243, 26, 120, 401, 201, 1, 317, 4, 12, 401, 382, 120, 447, 20, 70, 17, 363, 968, 189, 1, 17, 24, 63, 365, 23, 16, 28, 38, 244, 162, 117, 201, 6, 105, 4, 607, 225, 411]","[1, 0, 0, 1]"
"[14, 48, 2, 13, 3, 79, 267, 56, 4, 279, 25, 229, 343, 44, 121, 4, 37, 2, 2419, 747, 12, 240, 725, 1766, 30, 5, 247, 49, 61, 1766, 769, 32, 424, 239, 417, 1, 634]","[1, 0, 1, 1]"
"[24, 1, 17, 63, 2, 8, 87, 17, 16, 57, 140, 73, 154, 581, 52, 10, 154, 9, 5, 582, 28, 91, 432, 138, 1, 134, 113, 251, 52, 80, 92, 1, 3, 244, 17, 38, 369, 262, 9, 1, 10, 219]","[0, 1, 0, 1]"
"[220, 147, 19, 505, 505, 20, 82, 147, 65, 19, 28, 35, 1, 3, 5, 152, 19, 10, 272, 38, 111, 1, 229, 5, 200, 333, 20, 333, 68, 188, 47, 56, 30, 6, 16, 57]","[1, 0, 0, 0]"
"[7, 6, 16, 9, 63, 40, 152, 35, 37, 651, 5, 105, 1185, 35, 748, 1, 3, 4, 29, 27, 116, 5, 44, 353, 7, 373, 542, 188, 1, 3, 3, 651, 5, 105, 47]","[1, 0, 0, 0]"
"[15, 78, 104, 329, 270, 15, 28, 869, 1471, 150, 145, 149, 89, 220, 82, 5, 690, 35]","[1, 0, 1, 0]"
"[2, 55, 13, 5, 220, 90, 20, 97, 82, 23, 90, 65, 80, 8, 181, 37, 1, 65, 484, 65, 2, 8, 30, 5, 344, 99, 191, 8, 14, 2, 8, 32, 5, 44, 81, 36, 132, 51, 36, 58, 20, 27]","[1, 0, 0, 1]"
"[132, 32, 13, 7, 6, 11, 43, 96, 140, 362, 824, 19, 63, 362, 824, 138, 241, 7, 102, 356, 43, 11, 96, 140, 47, 915, 7, 11, 80, 41, 16, 96, 140, 13]","[0, 1, 0, 0]"
"[51, 166, 18, 16, 89, 407, 9, 40, 1, 3, 34, 27, 39, 176, 57, 21, 19, 64, 176, 4, 322, 6, 10, 5, 2420, 68, 2421, 749, 12, 2422, 65, 24, 32, 916]","[0, 1, 0, 0]"
"[14, 405, 14, 103, 541, 522, 83, 1472, 226, 668, 9, 1, 570, 306, 26, 53, 1, 125, 825, 803, 22, 162, 1, 3, 5, 1103]","[1, 0, 1, 1]"
"[168, 286, 327, 11, 804, 141, 6, 31, 18, 88, 389, 12, 140, 37, 1, 3, 79, 183, 621, 42, 804, 377, 11, 226, 162, 88, 389, 6, 1, 56, 621, 42, 21]","[0, 1, 0, 0]"
"[29, 142, 115, 69, 37, 276, 4, 35, 8, 1, 3, 5, 496, 65, 482, 12, 137, 23, 29, 37, 3, 5, 412, 20, 38, 2423, 87, 126, 35, 8, 8, 32, 72, 29, 512, 148, 7, 101, 16, 2, 13, 290, 84, 110, 74, 72, 1029, 6, 139, 9, 29, 122, 65, 136, 2, 8, 87]","[1, 0, 0, 1]"
"[2, 1, 83, 70, 2424, 22, 15, 583, 117, 26, 2425, 198, 149, 89, 220, 28, 180, 17, 969]","[1, 0, 1, 1]"
"[33, 74, 6, 146, 11, 4, 75, 203, 163, 28, 121, 247, 30, 109, 14, 32, 5, 44, 62, 353, 153, 1, 163, 28, 19, 1, 38, 168, 121, 5, 318, 247]","[1, 1, 0, 1]"
"[7, 463, 750, 12, 112, 16, 24, 395, 74, 60, 15, 6, 101, 65, 314, 2, 30, 366, 16, 11, 228, 100, 12, 128, 128, 8, 77, 4, 24, 5, 42, 107, 23, 4, 1464, 50, 112, 15, 6, 56, 20, 56, 2, 100, 26, 23, 164, 571, 84, 111, 230, 750, 32, 5, 540, 19, 1104, 323, 1, 7, 294, 65, 77, 68, 41, 826, 16, 19, 821, 58, 87, 5, 1302, 506]","[0, 0, 1, 1]"
"[22, 35, 57, 27, 1, 10, 12, 166, 10, 4, 425, 18, 252, 22, 29, 39, 273, 194, 4, 34, 252, 135, 134, 323, 2, 13, 23, 22, 77, 32, 15, 27, 84, 125, 22]","[0, 1, 1, 0]"
"[343, 10, 329, 104, 41, 496, 1028, 35, 347, 3, 212, 19, 118, 313, 10, 322, 12, 270]","[1, 0, 0, 0]"
