review_token,Content
"[7, 36, 62, 27, 269, 26, 6, 97, 334, 7, 288, 214, 121, 4, 70, 86, 131, 131, 257, 30, 99, 191, 963, 14, 86, 142, 101, 224, 25, 1, 356, 152, 263, 334, 9, 152, 89, 149, 19, 323, 5, 212, 796, 186, 15]",0
"[293, 74, 1, 913, 107, 80, 4, 19, 186, 15, 198, 502, 1, 3, 289, 35, 8, 26, 212, 37, 166, 15, 21, 2, 233, 6, 22, 566, 252, 22, 15, 9, 2, 1, 913, 56, 86]",0
"[22, 17, 15, 67, 17, 330, 6, 148, 186, 28, 107, 23, 212, 110, 23, 197, 159, 2, 225, 17, 6, 207, 207, 15, 113, 144, 82, 6, 144, 37, 862, 285, 105, 242, 149, 21, 135, 618, 2, 82, 101, 64, 35, 149, 21, 15, 148, 20, 28]",0
"[122, 44, 1096, 21, 152, 35, 27, 167, 121, 109, 311, 178, 45, 235, 152, 30, 5, 2, 68, 3, 177, 863, 19, 541, 41, 482, 5, 567, 42, 347, 44, 178, 25, 687, 87, 30, 6, 5, 1097, 294, 68, 44, 27, 107, 35, 240, 1095, 223, 1299, 347, 71, 83, 41, 520, 19, 964, 253, 50, 461, 27]",0
"[33, 225, 121, 90, 204, 120, 157, 604, 120, 5, 451, 41, 4, 15, 67, 182, 313, 3, 5, 270, 39, 8, 323, 195, 2408, 10, 15, 134, 315, 19, 3, 5, 270]",0
"[225, 17, 4, 69, 279, 182, 20, 6, 167, 28, 107, 279, 315, 86, 19, 1463, 966, 966, 225, 17, 7, 382, 26, 103, 196, 28, 134, 86, 76, 1, 23, 16, 21, 667, 17, 190, 225, 635]",0
"[6, 16, 9, 49, 22, 15, 43, 55, 16, 26, 49, 10, 15, 28, 4, 25, 73, 1464, 20, 1, 254, 399, 183, 65, 394, 1465, 15]",0
"[156, 689, 56, 24, 13, 142, 5, 115, 228, 37, 1466, 13, 37, 569, 61, 5, 115, 164, 147, 1467, 89, 2410, 113, 142, 5, 115, 37, 483, 483, 37, 12, 228, 89, 206, 164, 47, 34, 1762, 21, 352, 580, 95, 171, 115, 13, 2]",0
"[22, 108, 57, 12, 1, 108, 7, 31, 57, 473, 19, 108, 1, 10, 37, 316, 531, 148, 4, 1182, 6, 182, 1099, 1178, 69, 186, 108, 352]",0
"[126, 66, 119, 8, 49, 78, 376, 75, 203, 60, 5, 867, 298, 223, 265, 189, 71, 14, 19, 10, 204, 154, 28, 39, 240, 2414, 1029, 1, 255, 5, 620, 21, 592, 16, 12, 6, 16, 268, 200, 223, 60, 33, 111, 2415, 8, 134, 70]",0
"[1030, 14, 9, 66, 49, 78, 123, 19, 47, 125, 1765, 57, 30, 47, 6, 10, 15, 55, 227, 15, 1, 134, 4, 253, 50, 314, 494, 20, 146, 11, 26, 194, 103, 1, 1184, 967, 22, 262, 9, 26, 194, 12, 1, 278, 262, 4, 42, 73, 5, 185, 23, 4, 253, 50, 9, 37, 146, 11, 521]",0
"[6, 134, 14, 32, 104, 21, 25, 69, 153, 122, 133, 25, 89, 463, 300, 333, 89, 463, 300, 12, 133, 153, 122, 423, 19, 22, 204, 41, 4]",0
"[14, 48, 2, 13, 3, 79, 267, 56, 4, 279, 25, 229, 343, 44, 121, 4, 37, 2, 2419, 747, 12, 240, 725, 1766, 30, 5, 247, 49, 61, 1766, 769, 32, 424, 239, 417, 1, 634]",1
"[15, 78, 104, 329, 270, 15, 28, 869, 1471, 150, 145, 149, 89, 220, 82, 5, 690, 35]",0
