review_token,Payment
"[7, 6, 2406, 19, 31, 34, 2407, 633, 5, 2, 361, 1298, 5, 1095, 3, 4, 75, 203, 9, 214, 121, 90, 2, 24, 1, 3, 152, 49, 39, 31, 18, 21, 416, 540, 19, 372]",0
"[7, 6, 70, 16, 73, 80, 13, 74, 6, 11, 88, 9, 1, 3, 4, 264, 138, 335, 321, 102, 19, 351, 5, 24, 49, 207, 462, 6, 373, 503, 8, 188, 1, 10, 504, 157, 864, 12, 212, 23, 31, 21, 188, 92, 1, 3]",0
"[2, 1, 83, 6, 799, 18, 16, 9, 1, 3, 34, 5, 341, 336, 1180, 6, 59, 82, 605, 5, 2, 18, 1, 59, 6, 373, 393, 80, 374, 767, 296, 1, 10, 331, 530]",0
"[1461, 688, 91, 821, 865, 68, 33, 74, 113, 315, 13, 1, 5, 215, 91, 212, 7, 23, 4, 54, 247, 1098, 332, 493, 38, 1, 866, 21, 60, 6, 11, 227, 5, 138, 7, 6, 78, 9, 297, 2409, 1, 3, 800, 297, 91, 7, 15, 47, 22, 178, 257, 169, 224, 431, 262]",0
"[49, 46, 45, 41, 31, 18, 268, 37, 113, 65, 31, 80, 38, 180, 60, 6, 31, 1, 119, 3, 5, 34, 74, 48, 579, 24, 6, 446, 168, 177, 13, 234, 61, 170, 65, 348, 3, 71, 44, 31, 18, 268, 19, 68, 68, 119, 59, 1, 822, 822, 81, 36]",0
"[132, 362, 7, 31, 18, 16, 223, 205, 181, 10, 102, 21, 5, 335, 388, 205, 41, 16, 140, 103, 356, 28, 7, 605, 5, 16, 7, 12, 16, 223, 218, 636, 12, 140, 52, 7, 102, 80, 205, 19, 205, 85, 13, 132, 3, 129, 746, 7, 1761, 58, 26, 227, 16, 7, 44, 26, 1, 801, 334, 197, 2, 13, 81, 36]",0
"[84, 43, 7, 122, 74, 7, 6, 140, 1763, 28, 75, 203, 9, 1, 3, 5, 34, 56, 86, 19, 71, 174, 11, 140, 65, 393, 5, 335, 1, 10, 410, 747, 61, 8, 138, 131, 78, 41, 1763, 2, 233, 13, 32, 84, 43, 7, 122, 74, 21]",0
"[400, 277, 7, 7, 6, 199, 11, 41, 16, 18, 57, 12, 96, 473, 11, 219, 10, 503, 2411, 89, 1183, 2, 241, 19, 296, 11, 219, 89, 341, 40, 7, 1, 3, 337, 652, 57, 557, 37, 5, 2, 7, 61, 16, 55, 188, 7, 161, 440, 16, 21, 9, 375, 7, 6, 16, 13, 6, 80, 492, 196, 85, 159, 24]",0
"[1468, 23, 16, 43, 4, 127, 11, 6, 219, 6, 166, 462, 11, 6, 219, 89, 296, 724, 704, 5, 605, 5, 341, 336, 6, 59, 9, 276, 90, 2, 1, 59, 18]",0
"[768, 441, 31, 18, 606, 138, 6, 102, 9, 18, 1, 101, 142, 5, 542, 69, 3, 9, 1764, 128, 18, 7, 175, 21, 19, 1, 3, 77, 1301, 18, 140, 7, 9, 331, 121, 542, 212, 540, 305, 2416, 2417, 27, 73, 113, 121, 7, 272, 13, 18, 7, 61, 224, 177, 1100]",0
"[1030, 14, 9, 66, 49, 78, 123, 19, 47, 125, 1765, 57, 30, 47, 6, 10, 15, 55, 227, 15, 1, 134, 4, 253, 50, 314, 494, 20, 146, 11, 26, 194, 103, 1, 1184, 967, 22, 262, 9, 26, 194, 12, 1, 278, 262, 4, 42, 73, 5, 185, 23, 4, 253, 50, 9, 37, 146, 11, 521]",0
