review_token,Satisfaction
"[7, 36, 62, 27, 269, 26, 6, 97, 334, 7, 288, 214, 121, 4, 70, 86, 131, 131, 257, 30, 99, 191, 963, 14, 86, 142, 101, 224, 25, 1, 356, 152, 263, 334, 9, 152, 89, 149, 19, 323, 5, 212, 796, 186, 15]",0
"[293, 74, 1, 913, 107, 80, 4, 19, 186, 15, 198, 502, 1, 3, 289, 35, 8, 26, 212, 37, 166, 15, 21, 2, 233, 6, 22, 566, 252, 22, 15, 9, 2, 1, 913, 56, 86]",0
"[2, 87, 17, 107, 137, 213, 89, 2, 82, 6, 53, 35, 55, 4, 79, 82, 23, 90, 21, 1, 3, 56, 86, 2, 285, 1, 23, 289, 445, 1, 23, 186, 39, 5, 1758, 149, 2, 69, 3, 5, 90, 21, 116, 5, 44, 2]",0
"[2, 14, 12, 33, 519, 41, 4, 50, 25, 19, 68, 68, 73, 294, 26, 3, 10, 204, 482, 92, 2404, 1759, 313, 288, 107, 80, 4, 41, 798, 117, 252, 295, 2405, 6, 723, 81, 36]",1
"[74, 6, 53, 25, 61, 144, 4, 28, 797, 65, 218, 13, 285, 157, 55, 145, 218, 169, 30, 61, 239, 1760, 69, 47, 128, 30, 61, 1, 10, 168, 177, 13, 121, 53, 25, 25, 95, 53, 1, 10, 168, 9, 12, 65, 69, 186, 168, 26, 492, 460, 168, 57, 95, 6, 90, 57]",0
"[22, 17, 15, 67, 17, 330, 6, 148, 186, 28, 107, 23, 212, 110, 23, 197, 159, 2, 225, 17, 6, 207, 207, 15, 113, 144, 82, 6, 144, 37, 862, 285, 105, 242, 149, 21, 135, 618, 2, 82, 101, 64, 35, 149, 21, 15, 148, 20, 28]",0
"[122, 44, 1096, 21, 152, 35, 27, 167, 121, 109, 311, 178, 45, 235, 152, 30, 5, 2, 68, 3, 177, 863, 19, 541, 41, 482, 5, 567, 42, 347, 44, 178, 25, 687, 87, 30, 6, 5, 1097, 294, 68, 44, 27, 107, 35, 240, 1095, 223, 1299, 347, 71, 83, 41, 520, 19, 964, 253, 50, 461, 27]",1
"[33, 225, 121, 90, 204, 120, 157, 604, 120, 5, 451, 41, 4, 15, 67, 182, 313, 3, 5, 270, 39, 8, 323, 195, 2408, 10, 15, 134, 315, 19, 3, 5, 270]",0
"[7, 6, 70, 16, 73, 80, 13, 74, 6, 11, 88, 9, 1, 3, 4, 264, 138, 335, 321, 102, 19, 351, 5, 24, 49, 207, 462, 6, 373, 503, 8, 188, 1, 10, 504, 157, 864, 12, 212, 23, 31, 21, 188, 92, 1, 3]",0
"[2, 1, 83, 6, 799, 18, 16, 9, 1, 3, 34, 5, 341, 336, 1180, 6, 59, 82, 605, 5, 2, 18, 1, 59, 6, 373, 393, 80, 374, 767, 296, 1, 10, 331, 530]",0
"[1461, 688, 91, 821, 865, 68, 33, 74, 113, 315, 13, 1, 5, 215, 91, 212, 7, 23, 4, 54, 247, 1098, 332, 493, 38, 1, 866, 21, 60, 6, 11, 227, 5, 138, 7, 6, 78, 9, 297, 2409, 1, 3, 800, 297, 91, 7, 15, 47, 22, 178, 257, 169, 224, 431, 262]",0
"[125, 70, 45, 30, 99, 109, 14, 117, 47, 22, 9, 92, 20, 45, 28, 71, 44, 26, 23, 2, 71, 14, 89, 12, 68, 1300, 62, 76, 703, 74, 38]",0
