reviews,Performance and Stability,Payment,Content,Satisfaction
"sy kasih 2 dulu yah nanti kalau udah lancar akan sy rubah.. (pada saat menonton sering sekali tiba tiba berhenti, padahal jaringan wifi/seluler bagus sekali, setelah masuk kembali film tidak otomatis memutar kelanjutannya akan tetapi memutar dari ulang, dan jika di percepat maka muncul iklan).",neg,,neg,neg
"Agak kecewa, gak optimal. Setiap kali nonton dan muncul iklan pasti ngebug gak bisa jalan video nya. Kalau dipercepat malah dapat iklan lagi. Apk sampah udah banyak makan data, banyak iklan, tapi apk gak optimal sama sekali.",neg,,neg,neg
"Aplikasiya jelek banget, setiap kita keluar dari aplikasi pas udah download video apa nonton streaming, pas mau bukak lagi gak bisa sama sekali apknya bug gak mau jalan menunya gak mau muncul, harus di reset ulang aplikasinya baru bisa. Di bukak lagi, mohon di perbaiki aplikasinya",neg,,,neg
"Admin, tolong munculkan fitur on/off autoplay. Sedikit curhat, saya kemarin nonton sampe ketiduran, besok ga taunya Kouta tinggal sedikit, ternyata videonya jalan terus sampai ke video selanjutnya dengan resolusi gambar yg tinggi yg memakan Kouta saya. Tolong dikembangkan lagi ya min agar menjadi lebih baik. Sebenarnya masalah resolusi gambar sudah menjadi keresahan saya dari dulu. Mohon untuk diperbaiki🙏",neg,,,
"Aplikasi bagus yg sangat direkomendasikan utk nonton bola,filem dll..cuman saran kalau bisa,ada pilihan resolusi tetap (resolution default) tanpa mengubah setiap kali menonton, utk penghematan kuota/data.harga bensin sudah naik.Terimakasih🙏🏼",pos,,,pos
"Kecewa! Udah download film belum habis nonton terus besoknya ke hapus. Ini bug atau apa masa kehapus sendiri. Padahal belum waktunya kaladuarsa baru juga 1 hari, padahal sebelumnya ga ada masalah seperti ini saat download film. 3 film gw download ga ada masalah tapi yang ke 4 baru muncul masalahnya. Kalo Lo jawab masalah premium! Gw udah buka premium 🤬",neg,,,neg
"Banyak banget iklan lama banget durasinya udah gitu muncul terus setiap mau dipercepat bikin mau uinstall nih aplikasi kesel banget udah ditunggu tunggu iklanya sampai habis pas udah habis malah ng bug loading, akhirnya ulangi lagi kan tutup aplikasi pas masuk liat video ulang lagi iklanya .. gitu aja terussssss ...",neg,,neg,neg
"Saya sudah mengatifkan dan membeli pake dinamon mobile diaplikasi XL prioritas,, di deskripsinya bisa nonton liga Inggris. Tapi pada saat buka aplikasi vidio tidak bisa diputar, masih harus beli paket lg.. harap tanggapan dan solusinya.",,neg,,
"Semakin baik, dimaksimalkan lagi pemutaran video'y,buffering saat sinyal stabil kadang error, gagal pemutaran ,padahal diaplikasi lain bisa seperti disney dan netflix, utk resolusi di smart tv agar diperbaiki kadang film tertentu burik padahal ud di setting 1080, Saran lain,sebaik'y setiap video diberi deskripsi tahun produksi agar lebih jelas,untuk berita dan review sepak bola khusus'y",neg,,neg,pos
Sangat mengesalkan saat membuka 1 pilihan channel atau berpindah channel di paksa untuk menonton iklan selama 1 menit tanpa bisa di skip. Seharus nya jika memang hatus ada iklan cukup 5 detik dan bisa di skip,,,neg,neg
"Saya sudah sering berlangganan, cuma kali ini kecewa sudah pembayaran premier tapi gak bisa nonton, sedangkan saldo gopay sukses terpotong dan keterangan di vidio masih menunggu konfirmasi, sudah dikirim bukti nya pun gak ada balesan atau tindakan yg cepat, mau beli lagi pun tetep gak bisa",,neg,,neg
"Aplikasi gak jelas.. sudah aktivasi paket langganan, tapi gak bisa dipake.. di google play store sudah aktif, pas cek di aplikasi paket tidak aktif.. sudah dikirimkan dua kali laporan by email gak ada respon.. kacau",,neg,,neg
"Sangan setuju dengan penilaian cutomer lain, sangat kecewa sampe detik ini ga di proses dengan cepat, saya maau nonton live pertandingan city vs mu jadi tidak mood lagi karna sudah bayar uang di saldo saya sudah berkurang tapi akses premierenya tidak bisa ter akses dengan saya, iklan juga banyak, kadang berhenti sendiri....! BALIKIN TUH DUIT",,neg,,neg
Aplikasi banyak error nya padahal jaringan WiFi speed tinggi Tiba-tiba error suruh coba lagi udah di coba tetep stak disitu situ aja padahal udah berlangganan premium di perbaiki secepatnya bug dan error yang ada jangan gara2 telat perbaiki keluhan pelanggan pada pindah,neg,,,
Terlalu sering error. Padahal jaringan sinyal bagus kuota juga banyak tapi tetap aja ngelag mulu. Lebih baik kalau mau aplikasinya lebih bagus dari yang lain diuji dulu deh daripada mengecewakan jadinya.,neg,,,neg
